nct_id,arm_label,oligo_name,arm_role,is_comparator,n_at_risk,tierA_affected,tierB_affected,tierA_event,tierB_event,tierA_terms,max_grade,delivery_route,route_is_cns,indication,oligo_class,backbone_chemistry,modification_pattern,has_sequence,trial_status,n_measurement_rows
NCT01617967,Patisiran 0.300 mg/kg Q3W,patisiran,exposed,0,3,0,0,0,0,none,0,intravenous,0,TTR-mediated Amyloidosis,siRNA,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01617967,Patisiran 0.300 mg/kg Q3W Alternative,patisiran,exposed,0,9,0,0,0,0,none,0,intravenous,0,TTR-mediated Amyloidosis,siRNA,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01617967,Patisiran 0.300 mg/kg Q4W,patisiran,exposed,0,7,0,0,0,0,none,0,intravenous,0,TTR-mediated Amyloidosis,siRNA,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01681433,Control Arm: Arm B,apatorsen,exposed,0,36,0,0,0,0,none,0,intravenous,0,Prostate Cancer; Metastatic Castrate-Resistant Prostate Cancer; PSA,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
NCT01681433,Experimental: Arm A,apatorsen,exposed,0,56,0,0,0,0,none,0,intravenous,0,Prostate Cancer; Metastatic Castrate-Resistant Prostate Cancer; PSA,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
NCT01703988,Nusinersen 12 mg,nusinersen,exposed,0,9,0,5,0,1,none,1,intrathecal_lumbar,1,Spinal Muscular Atrophy,splice_switching_ASO,full_PS,uniform 2'-MOE,1,COMPLETED,3
NCT01703988,Nusinersen 3 mg,nusinersen,exposed,0,8,0,3,0,1,none,1,intrathecal_lumbar,1,Spinal Muscular Atrophy,splice_switching_ASO,full_PS,uniform 2'-MOE,1,COMPLETED,3
NCT01703988,Nusinersen 6 mg,nusinersen,exposed,0,8,0,1,0,1,none,1,intrathecal_lumbar,1,Spinal Muscular Atrophy,splice_switching_ASO,full_PS,uniform 2'-MOE,1,COMPLETED,3
NCT01703988,Nusinersen 9 mg,nusinersen,exposed,0,9,0,3,0,1,none,1,intrathecal_lumbar,1,Spinal Muscular Atrophy,splice_switching_ASO,full_PS,uniform 2'-MOE,1,COMPLETED,3
NCT01731951,Arm A: Imetelstat 9.4 mg/kg (MF),imetelstat,exposed,0,19,0,0,0,0,none,0,intravenous,0,Primary Myelofibrosis; Secondary Myelofibrosis; Myeloid Malignancies,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01731951,Arm B: Imetelstat 9.4 mg/kg as Induction + Maintenance (MF),imetelstat,exposed,0,16,0,0,0,0,none,0,intravenous,0,Primary Myelofibrosis; Secondary Myelofibrosis; Myeloid Malignancies,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01731951,Arm D: Imetelstat 9.4 mg/kg (Blast-phase MF/Acute Myeloid Leukemia,imetelstat,exposed,0,9,0,0,0,0,none,0,intravenous,0,Primary Myelofibrosis; Secondary Myelofibrosis; Myeloid Malignancies,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01731951,Arm E: Imetelstat 7.5 - 9.4 mg/kg (MF [With Spliceosome Mutation or Ring Sideroblasts]),imetelstat,exposed,0,9,0,0,0,0,none,0,intravenous,0,Primary Myelofibrosis; Secondary Myelofibrosis; Myeloid Malignancies,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01731951,Arm F: Imetelstat 7.5 - 9.4 mg/kg (MF [Without Spliceosome Mutation and Ring Sideroblasts]),imetelstat,exposed,0,18,0,0,0,0,none,0,intravenous,0,Primary Myelofibrosis; Secondary Myelofibrosis; Myeloid Malignancies,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01731951,Arm G: Imetelstat 7.5 - 9.4 mg/kg (MDS/MPN or MDS With Spliceosome Mutations or Ring Sideroblasts),imetelstat,exposed,0,9,0,0,0,0,none,0,intravenous,0,Primary Myelofibrosis; Secondary Myelofibrosis; Myeloid Malignancies,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01737398,Inotersen,inotersen,exposed,0,112,0,0,0,0,none,0,subcutaneous,0,FAP; Familial Amyloid Polyneuropathy; TTR; Transthyretin; Amyloidosis,ASO_gapmer,full_PS,5-10-5,1,COMPLETED,1
